"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002709","regulation of T cell mediated immunity","7/60","89/18903",1.27268331604878e-08,1.47429651463076e-07,9.0460658837443e-08,"SASH3/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD1B",7
"GO:0002705","positive regulation of leukocyte mediated immunity","8/60","140/18903",1.36904096155617e-08,1.57037051472619e-07,9.63556177276891e-08,"SASH3/CD28/IL12RB1/SLAMF1/PTPRC/SH2D1A/CD226/CD1B",8
"GO:2000106","regulation of leukocyte apoptotic process","7/60","93/18903",1.73272281575541e-08,1.95206450261006e-07,1.19775797641031e-07,"PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1",7
"GO:0002285","lymphocyte activation involved in immune response","9/60","207/18903",1.7351684467645e-08,1.95206450261006e-07,1.19775797641031e-07,"IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/PTPRC/CR1",9
"GO:2000107","negative regulation of leukocyte apoptotic process","6/60","55/18903",2.03272955834292e-08,2.26504150786782e-07,1.38979604891215e-07,"PRKCQ/JAK3/IL7R/CD27/PDCD1/IDO1",6
"GO:0070664","negative regulation of leukocyte proliferation","7/60","96/18903",2.16399574383702e-08,2.38856133989558e-07,1.46558599532954e-07,"CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1",7
"GO:0002707","negative regulation of lymphocyte mediated immunity","6/60","56/18903",2.2710822724547e-08,2.48333295212336e-07,1.52373645825293e-07,"SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/CR1",6
"GO:0031341","regulation of cell killing","7/60","102/18903",3.30367821372637e-08,3.5789847315369e-07,2.19601222393897e-07,"SERPINB9/IL12RB1/IL7R/PTPRC/SH2D1A/CD226/CD1B",7
"GO:0042100","B cell proliferation","7/60","104/18903",3.78172194502588e-08,4.05927951897274e-07,2.49071401883887e-07,"GPR183/SASH3/CTLA4/IL7R/TNFRSF4/PTPRC/CARD11",7
"GO:0002253","activation of immune response","11/60","397/18903",4.15784025200463e-08,4.38292629041603e-07,2.68929890244151e-07,"CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D",11
"GO:0019221","cytokine-mediated signaling pathway","12/60","496/18903",4.15816083962547e-08,4.38292629041603e-07,2.68929890244151e-07,"IL4R/JAK3/CSF2RB/IL21R/IL12RB1/IL2RA/IL7R/TNFRSF4/PTPRC/IL13RA2/LEPR/CSF3R",12
"GO:0002507","tolerance induction","5/60","31/18903",4.33392318777888e-08,4.52740190151901e-07,2.77794700570037e-07,"CD274/IL2RA/ICOS/PDCD1/IDO1",5
"GO:0032623","interleukin-2 production","6/60","63/18903",4.67174598664594e-08,4.79468667050504e-07,2.94194899620732e-07,"PRKCQ/SASH3/CD28/PTPRC/CARD11/CR1",6
"GO:0032663","regulation of interleukin-2 production","6/60","63/18903",4.67174598664594e-08,4.79468667050504e-07,2.94194899620732e-07,"PRKCQ/SASH3/CD28/PTPRC/CARD11/CR1",6
"GO:0032613","interleukin-10 production","6/60","65/18903",5.65149242818749e-08,5.70021219049945e-07,3.49756609439552e-07,"JAK3/SASH3/CD274/CD28/TIGIT/IDO1",6
"GO:0032653","regulation of interleukin-10 production","6/60","65/18903",5.65149242818749e-08,5.70021219049945e-07,3.49756609439552e-07,"JAK3/SASH3/CD274/CD28/TIGIT/IDO1",6
"GO:0002456","T cell mediated immunity","7/60","113/18903",6.7246739345272e-08,6.7246739345272e-07,4.12616070476613e-07,"SASH3/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD1B",7
"GO:0030888","regulation of B cell proliferation","6/60","67/18903",6.79471797075122e-08,6.73713561506689e-07,4.13380700807523e-07,"GPR183/SASH3/CTLA4/TNFRSF4/PTPRC/CARD11",6
"GO:0032743","positive regulation of interleukin-2 production","5/60","34/18903",7.04600009088011e-08,6.92757992128548e-07,4.25066082439649e-07,"PRKCQ/SASH3/CD28/PTPRC/CARD11",5
"GO:0002440","production of molecular mediator of immune response","10/60","333/18903",8.68663749444432e-08,8.46947155708321e-07,5.19674278176406e-07,"IL4R/JAK3/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/IL13RA2/CR1/CD226",10
"GO:0002702","positive regulation of production of molecular mediator of immune response","7/60","133/18903",2.06209605509439e-07,1.99392759046317e-06,1.22344454943399e-06,"IL4R/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/CD226",7
"GO:0030890","positive regulation of B cell proliferation","5/60","45/18903",3.01226497020987e-07,2.86532521556548e-06,1.75812127486789e-06,"GPR183/SASH3/TNFRSF4/PTPRC/CARD11",5
"GO:0031295","T cell costimulation","5/60","45/18903",3.01226497020987e-07,2.86532521556548e-06,1.75812127486789e-06,"CD274/CD28/CD5/ICOS/CARD11",5
"GO:0033077","T cell differentiation in thymus","6/60","86/18903",3.05543638835668e-07,2.88295207611074e-06,1.76893685641702e-06,"CD28/IL7R/PTPRC/CARD11/TNFRSF9/CD3D",6
"GO:0046006","regulation of activated T cell proliferation","5/60","46/18903",3.37142598312155e-07,3.15565472020177e-06,1.93626317514854e-06,"JAK3/CD274/IL12RB1/IL2RA/SLAMF1",5
"GO:0031294","lymphocyte costimulation","5/60","47/18903",3.7636454781925e-07,3.49481365832161e-06,2.14436609534443e-06,"CD274/CD28/CD5/ICOS/CARD11",5
"GO:0002643","regulation of tolerance induction","4/60","20/18903",4.27691096878265e-07,3.94014632557142e-06,2.41761564915853e-06,"CD274/IL2RA/PDCD1/IDO1",4
"GO:0050798","activated T cell proliferation","5/60","49/18903",4.65605387482021e-07,4.25592424495285e-06,2.61137232123963e-06,"JAK3/CD274/IL12RB1/IL2RA/SLAMF1",5
"GO:0030183","B cell differentiation","7/60","152/18903",5.11447908434985e-07,4.63871358813126e-06,2.84624621421999e-06,"JAK3/GPR183/IL4I1/PTPRC/CARD11/CD27/CR1",7
"GO:0045058","T cell selection","5/60","51/18903",5.70796164301223e-07,5.13716547871101e-06,3.15208893970392e-06,"CD28/IL12RB1/PTPRC/CARD11/CD3D",5
"GO:0050871","positive regulation of B cell activation","7/60","155/18903",5.83725805739954e-07,5.21342895202859e-06,3.19888308167656e-06,"GPR183/SASH3/CD28/TNFRSF4/PTPRC/CARD11/CD27",7
"GO:0045061","thymic T cell selection","4/60","22/18903",6.42674720112105e-07,5.69643501917548e-06,3.49524847780268e-06,"CD28/PTPRC/CARD11/CD3D",4
"GO:0002639","positive regulation of immunoglobulin production","5/60","53/18903",6.93928123540532e-07,6.10448048528137e-06,3.7456191551614e-06,"IL4R/SASH3/CD28/TNFRSF4/PTPRC",5
"GO:0030101","natural killer cell activation","6/60","99/18903",7.05370148593988e-07,6.15882890936542e-06,3.7789665462773e-06,"SLAMF7/FCGR3A/IL21R/SLAMF1/PTPRC/CD2",6
"GO:0002274","myeloid leukocyte activation","8/60","237/18903",7.91599589543226e-07,6.86052977604129e-06,4.20951984458854e-06,"IL4R/FCGR3A/SLAMF1/BATF3/PTPRC/IL13RA2/CD2/CD226",8
"GO:0046641","positive regulation of alpha-beta T cell proliferation","4/60","25/18903",1.10351574469852e-06,9.49348103895049e-06,5.82505989074605e-06,"PRKCQ/CD28/PTPRC/CARD11",4
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","5/60","59/18903",1.19312305116847e-06,1.01894450355263e-05,6.25209313021048e-06,"IL12RB1/PTPRC/SH2D1A/CD226/CD1B",5
"GO:0002711","positive regulation of T cell mediated immunity","5/60","60/18903",1.2984363623081e-06,1.10084822021773e-05,6.75464225090864e-06,"SASH3/IL12RB1/SLAMF1/PTPRC/CD1B",5
"GO:0002710","negative regulation of T cell mediated immunity","4/60","27/18903",1.52372350693993e-06,1.28255863533793e-05,7.86959054701273e-06,"IL7R/IL4I1/SLAMF1/PTPRC",4
"GO:0046632","alpha-beta T cell differentiation","6/60","117/18903",1.88384907381955e-06,1.57435958312063e-05,9.66003810785666e-06,"IL4R/JAK3/GPR183/SASH3/IL12RB1/ITK",6
"GO:0042104","positive regulation of activated T cell proliferation","4/60","29/18903",2.05235374349661e-06,1.70301693609293e-05,1.04494606425135e-05,"JAK3/IL12RB1/IL2RA/SLAMF1",4
"GO:0031343","positive regulation of cell killing","5/60","66/18903",2.09400570784263e-06,1.71327739732579e-05,1.05124173187241e-05,"IL12RB1/PTPRC/SH2D1A/CD226/CD1B",5
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","5/60","66/18903",2.09400570784263e-06,1.71327739732579e-05,1.05124173187241e-05,"THY1/PTPRC/CARD11/SH2D1A/CD226",5
"GO:0002825","regulation of T-helper 1 type immune response","4/60","30/18903",2.36249472708234e-06,1.9195269657544e-05,1.17779342388169e-05,"IL4R/JAK3/IL12RB1/SLAMF1",4
"GO:0001818","negative regulation of cytokine production","9/60","371/18903",2.39769559806702e-06,1.93469231016442e-05,1.18709865544952e-05,"SRGN/JAK3/CD274/SLAMF1/TIGIT/LGALS9C/PTPRC/CR1/IDO1",9
"GO:0045577","regulation of B cell differentiation","4/60","33/18903",3.5025890649337e-06,2.80686931915919e-05,1.72225359934015e-05,"IL4I1/CARD11/CD27/CR1",4
"GO:2000563","positive regulation of CD4-positive, alpha-beta T cell proliferation","3/60","10/18903",3.59093349870401e-06,2.85808992753992e-05,1.75368180889089e-05,"PRKCQ/CD28/CARD11",3
"GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","4/60","35/18903",4.46061945587535e-06,3.52630051579335e-05,2.16368596650568e-05,"IL4R/JAK3/CD274/LGALS9C",4
"GO:0032729","positive regulation of interferon-gamma production","5/60","77/18903",4.50762588673957e-06,3.5395451593861e-05,2.17181268439165e-05,"SASH3/IL12RB1/SLAMF1/CD2/CD226",5
"GO:0006568","tryptophan metabolic process","3/60","11/18903",4.92637386316227e-06,3.84257161326657e-05,2.35774524538714e-05,"KYNU/IL4I1/IDO1",3
"GO:0045589","regulation of regulatory T cell differentiation","4/60","36/18903",5.00632191433529e-06,3.87907062236575e-05,2.38014049883351e-05,"CD28/CTLA4/IL4I1/CR1",4
"GO:0002377","immunoglobulin production","7/60","219/18903",5.83770095076303e-06,4.49349349499523e-05,2.75714130777035e-05,"IL4R/SASH3/CD28/TNFRSF4/PTPRC/IL13RA2/CR1",7
"GO:0045066","regulatory T cell differentiation","4/60","39/18903",6.94098934700494e-06,5.30781538300378e-05,3.25679720306665e-05,"CD28/CTLA4/IL4I1/CR1",4
"GO:0006586","indolalkylamine metabolic process","3/60","13/18903",8.50049847459387e-06,6.37918131518801e-05,3.91417153122647e-05,"KYNU/IL4I1/IDO1",3
"GO:0001914","regulation of T cell mediated cytotoxicity","4/60","41/18903",8.50557508691735e-06,6.37918131518801e-05,3.91417153122647e-05,"IL12RB1/IL7R/PTPRC/CD1B",4
"GO:0032733","positive regulation of interleukin-10 production","4/60","41/18903",8.50557508691735e-06,6.37918131518801e-05,3.91417153122647e-05,"SASH3/CD274/CD28/TIGIT",4
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","5/60","88/18903",8.70260255186767e-06,6.48537897177399e-05,3.97933284637865e-05,"IL4R/JAK3/GPR183/SASH3/IL12RB1",5
"GO:0032689","negative regulation of interferon-gamma production","4/60","44/18903",1.13208849748397e-05,8.33046252865562e-05,5.11144889297628e-05,"CD274/SLAMF1/LGALS9C/CR1",4
"GO:0050856","regulation of T cell receptor signaling pathway","4/60","44/18903",1.13208849748397e-05,8.33046252865562e-05,5.11144889297628e-05,"THY1/CARD11/SH2D1A/CD226",4
"GO:0046636","negative regulation of alpha-beta T cell activation","4/60","45/18903",1.2395973606822e-05,9.06455569998862e-05,5.56187763148199e-05,"IL4R/JAK3/CD274/LGALS9C",4
"GO:0002517","T cell tolerance induction","3/60","15/18903",1.34624817339181e-05,9.72207817936112e-05,5.96532372318874e-05,"IL2RA/ICOS/IDO1",3
"GO:0070234","positive regulation of T cell apoptotic process","3/60","15/18903",1.34624817339181e-05,9.72207817936112e-05,5.96532372318874e-05,"CD274/PDCD1/IDO1",3
"GO:0042088","T-helper 1 type immune response","4/60","46/18903",1.35444337028706e-05,9.72207817936112e-05,5.96532372318874e-05,"IL4R/JAK3/IL12RB1/SLAMF1",4
"GO:0002701","negative regulation of production of molecular mediator of immune response","4/60","47/18903",1.47693703684568e-05,0.000105366849579844,6.46515442316272e-05,"JAK3/SLAMF1/IL13RA2/CR1",4
"GO:0001776","leukocyte homeostasis","5/60","100/18903",1.62453575572431e-05,0.000115194353587724,7.06815556876541e-05,"JAK3/GPR183/SASH3/IL2RA/IL7R",5
"GO:0009074","aromatic amino acid family catabolic process","3/60","16/18903",1.65317795231168e-05,0.000116519168927992,7.149444283301e-05,"KYNU/IL4I1/IDO1",3
"GO:0001913","T cell mediated cytotoxicity","4/60","51/18903",2.04977459439112e-05,0.000143606962601054,8.81151133548529e-05,"IL12RB1/IL7R/PTPRC/CD1B",4
"GO:0070230","positive regulation of lymphocyte apoptotic process","3/60","18/18903",2.39804736165772e-05,0.000167006869829734,0.000102472951168582,"CD274/PDCD1/IDO1",3
"GO:0038093","Fc receptor signaling pathway","4/60","55/18903",2.77110344009496e-05,0.000191845622775805,0.00011771364348457,"PRKCQ/FCGR3A/PTPRC/CD247",4
"GO:0032695","negative regulation of interleukin-12 production","3/60","19/18903",2.8412506444828e-05,0.000195544897296757,0.000119983463748438,"JAK3/SLAMF1/TIGIT",3
"GO:0071706","tumor necrosis factor superfamily cytokine production","6/60","189/18903",2.95029311093426e-05,0.000200688543011226,0.000123139528865188,"FCGR3A/SASH3/CD274/SLAMF1/PTPRC/CD2",6
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","6/60","189/18903",2.95029311093426e-05,0.000200688543011226,0.000123139528865188,"FCGR3A/SASH3/CD274/SLAMF1/PTPRC/CD2",6
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","4/60","56/18903",2.97721150153852e-05,0.0002013489859422,0.000123544766902907,"IL4R/JAK3/SASH3/IL12RB1",4
"GO:0002837","regulation of immune response to tumor cell","3/60","20/18903",3.33510032709367e-05,0.000224256746132161,0.000137600630555226,"CD274/IL4I1/CD226",3
"GO:0045620","negative regulation of lymphocyte differentiation","4/60","58/18903",3.42284807785699e-05,0.000228841842919582,0.000140413978291637,"IL4R/JAK3/CTLA4/CR1",4
"GO:0002286","T cell activation involved in immune response","5/60","118/18903",3.61429403269361e-05,0.000240268410127927,0.000147425151333555,"IL4R/JAK3/GPR183/IL12RB1/ITGAL",5
"GO:0002834","regulation of response to tumor cell","3/60","21/18903",3.88216583132924e-05,0.00025661774139295,0.000157456859766074,"CD274/IL4I1/CD226",3
"GO:0034113","heterotypic cell-cell adhesion","4/60","61/18903",4.18035030063118e-05,0.000274775834367331,0.000168598397695474,"ITGAX/THY1/PTPRC/CD2",4
"GO:0032615","interleukin-12 production","4/60","63/18903",4.74908815710207e-05,0.000308690730211634,0.000189408077376819,"JAK3/SLAMF1/TIGIT/IDO1",4
"GO:0032655","regulation of interleukin-12 production","4/60","63/18903",4.74908815710207e-05,0.000308690730211634,0.000189408077376819,"JAK3/SLAMF1/TIGIT/IDO1",4
"GO:0002712","regulation of B cell mediated immunity","4/60","64/18903",5.05372617864654e-05,0.000324882397198706,0.000199343045334699,"CD28/PTPRC/CR1/CD226",4
"GO:0002889","regulation of immunoglobulin mediated immune response","4/60","64/18903",5.05372617864654e-05,0.000324882397198706,0.000199343045334699,"CD28/PTPRC/CR1/CD226",4
"GO:0042430","indole-containing compound metabolic process","3/60","24/18903",5.867982022697e-05,0.000375166063746202,0.000230196361200998,"KYNU/IL4I1/IDO1",3
"GO:0042093","T-helper cell differentiation","4/60","68/18903",6.41656038886622e-05,0.00040800954646595,0.000250348637597641,"IL4R/JAK3/GPR183/IL12RB1",4
"GO:0001911","negative regulation of leukocyte mediated cytotoxicity","3/60","25/18903",6.65311344745524e-05,0.00041780436318801,0.000256358592617385,"SERPINB9/IL7R/PTPRC",3
"GO:0032693","negative regulation of interleukin-10 production","3/60","25/18903",6.65311344745524e-05,0.00041780436318801,0.000256358592617385,"JAK3/CD274/IDO1",3
"GO:0006959","humoral immune response","7/60","320/18903",6.67772785608188e-05,0.00041780436318801,0.000256358592617385,"GPR183/CD28/PTPRC/SH2D1A/CR1/PDCD1/GNLY",7
"GO:0002260","lymphocyte homeostasis","4/60","69/18903",6.79533822413044e-05,0.000422901368203862,0.000259486039689639,"JAK3/SASH3/IL2RA/IL7R",4
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","4/60","70/18903",7.19015580351688e-05,0.000445104883074855,0.000273109788805264,"IL4R/JAK3/GPR183/IL12RB1",4
"GO:0046629","gamma-delta T cell activation","3/60","26/18903",7.50394041336075e-05,0.000459665459876025,0.000282043943891542,"PTPRC/CD247/ITK",3
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","3/60","26/18903",7.50394041336075e-05,0.000459665459876025,0.000282043943891542,"PTPRC/CARD11/CD226",3
"GO:0002287","alpha-beta T cell activation involved in immune response","4/60","71/18903",7.60142522355659e-05,0.000460811788163793,0.000282747314015031,"IL4R/JAK3/GPR183/IL12RB1",4
"GO:0002293","alpha-beta T cell differentiation involved in immune response","4/60","71/18903",7.60142522355659e-05,0.000460811788163793,0.000282747314015031,"IL4R/JAK3/GPR183/IL12RB1",4
"GO:0002418","immune response to tumor cell","3/60","27/18903",8.42288642119407e-05,0.000505373185271644,0.000310089529784311,"CD274/IL4I1/CD226",3
"GO:0032753","positive regulation of interleukin-4 production","3/60","27/18903",8.42288642119407e-05,0.000505373185271644,0.000310089529784311,"PRKCQ/SASH3/CD28",3
"GO:0046637","regulation of alpha-beta T cell differentiation","4/60","73/18903",8.47498476214495e-05,0.000505904702638244,0.000310415660998005,"IL4R/JAK3/SASH3/IL12RB1",4
"GO:0031342","negative regulation of cell killing","3/60","28/18903",9.41235116558531e-05,0.000559007658057605,0.000342998850917936,"SERPINB9/IL7R/PTPRC",3
"GO:0001773","myeloid dendritic cell activation","3/60","29/18903",0.000104747106799586,0.000618960176543011,0.000379784831671015,"SLAMF1/BATF3/CD2",3
"GO:0002292","T cell differentiation involved in immune response","4/60","79/18903",0.000115343814332302,0.000672594626361099,0.000412694138711893,"IL4R/JAK3/GPR183/IL12RB1",4
"GO:0002437","inflammatory response to antigenic stimulus","4/60","79/18903",0.000115343814332302,0.000672594626361099,0.000412694138711893,"FCGR3A/CD28/IL2RA/CD6",4
"GO:0009072","aromatic amino acid family metabolic process","3/60","30/18903",0.000116123174807643,0.000672594626361099,0.000412694138711893,"KYNU/IL4I1/IDO1",3
"GO:2000108","positive regulation of leukocyte apoptotic process","3/60","30/18903",0.000116123174807643,0.000672594626361099,0.000412694138711893,"CD274/PDCD1/IDO1",3
"GO:0001916","positive regulation of T cell mediated cytotoxicity","3/60","31/18903",0.000128275007110001,0.000739319006496066,0.000453635233855436,"IL12RB1/PTPRC/CD1B",3
"GO:0002831","regulation of response to biotic stimulus","7/60","361/18903",0.000141447699733847,0.000811244160238238,0.000497767446947799,"CD274/SERPINB9/IL12RB1/IL4I1/SH2D1A/CR1/CD226",7
"GO:0038094","Fc-gamma receptor signaling pathway","3/60","33/18903",0.000154997970206805,0.000884622561668104,0.0005427913513789,"FCGR3A/PTPRC/CD247",3
"GO:0002312","B cell activation involved in immune response","4/60","88/18903",0.000175248160734954,0.000995341495436389,0.000610726855499431,"GPR183/CD28/PTPRC/CR1",4
"GO:0032633","interleukin-4 production","3/60","35/18903",0.000185097706933454,0.00103619290484278,0.000635792677555354,"PRKCQ/SASH3/CD28",3
"GO:0032673","regulation of interleukin-4 production","3/60","35/18903",0.000185097706933454,0.00103619290484278,0.000635792677555354,"PRKCQ/SASH3/CD28",3
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","3/60","35/18903",0.000185097706933454,0.00103619290484278,0.000635792677555354,"IL4R/SASH3/IL12RB1",3
"GO:0007259","receptor signaling pathway via JAK-STAT","5/60","172/18903",0.000214454833845146,0.00119481978856581,0.000733123792894184,"JAK3/SOCS3/CSF2RB/IL7R/PTPRC",5
"GO:0043368","positive T cell selection","3/60","38/18903",0.000236967285900327,0.00131398921565584,0.000806244395031294,"IL12RB1/PTPRC/CD3D",3
"GO:0097696","receptor signaling pathway via STAT","5/60","183/18903",0.000285725519940355,0.001576881407218,0.000967551164842713,"JAK3/SOCS3/CSF2RB/IL7R/PTPRC",5
"GO:0032640","tumor necrosis factor production","5/60","184/18903",0.000292997950143315,0.00160190468069008,0.000982905076230893,"FCGR3A/SASH3/SLAMF1/PTPRC/CD2",5
"GO:0032680","regulation of tumor necrosis factor production","5/60","184/18903",0.000292997950143315,0.00160190468069008,0.000982905076230893,"FCGR3A/SASH3/SLAMF1/PTPRC/CD2",5
"GO:0002714","positive regulation of B cell mediated immunity","3/60","42/18903",0.000319577240289226,0.00172306622644421,0.00105724801298691,"CD28/PTPRC/CD226",3
"GO:0002891","positive regulation of immunoglobulin mediated immune response","3/60","42/18903",0.000319577240289226,0.00172306622644421,0.00105724801298691,"CD28/PTPRC/CD226",3
"GO:0043029","T cell homeostasis","3/60","42/18903",0.000319577240289226,0.00172306622644421,0.00105724801298691,"JAK3/IL2RA/IL7R",3
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","4/60","104/18903",0.000332753493635489,0.00178587884198863,0.00109578890709514,"JAK3/SOCS3/IL7R/PTPRC",4
"GO:0002347","response to tumor cell","3/60","43/18903",0.000342771824740682,0.00181885780627405,0.00111602431298147,"CD274/IL4I1/CD226",3
"GO:0045622","regulation of T-helper cell differentiation","3/60","43/18903",0.000342771824740682,0.00181885780627405,0.00111602431298147,"IL4R/JAK3/IL12RB1",3
"GO:0048872","homeostasis of number of cells","6/60","296/18903",0.000344972206594075,0.00181885780627405,0.00111602431298147,"JAK3/GPR183/SASH3/IL2RA/IL7R/CARD11",6
"GO:0032760","positive regulation of tumor necrosis factor production","4/60","105/18903",0.00034511660939559,0.00181885780627405,0.00111602431298147,"FCGR3A/SASH3/PTPRC/CD2",4
"GO:0002444","myeloid leukocyte mediated immunity","4/60","107/18903",0.000370824929902257,0.00194558371294009,0.00119378145949181,"IL4R/FCGR3A/SERPINB9/IL13RA2",4
"GO:1902106","negative regulation of leukocyte differentiation","4/60","108/18903",0.00038418008080853,0.00200665488636598,0.0012312538304108,"IL4R/JAK3/CTLA4/CR1",4
"GO:0033003","regulation of mast cell activation","3/60","45/18903",0.000392354929594256,0.00204024563389013,0.00125186461746565,"IL4R/IL13RA2/CD226",3
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","4/60","109/18903",0.000397875878660505,0.00205979990279996,0.00126386282834869,"FCGR3A/SASH3/PTPRC/CD2",4
"GO:0001915","negative regulation of T cell mediated cytotoxicity","2/60","10/18903",0.000438599119804049,0.00223113465291625,0.00136899130300394,"IL7R/PTPRC",2
"GO:0045625","regulation of T-helper 1 cell differentiation","2/60","10/18903",0.000438599119804049,0.00223113465291625,0.00136899130300394,"IL4R/JAK3",2
"GO:0048304","positive regulation of isotype switching to IgG isotypes","2/60","10/18903",0.000438599119804049,0.00223113465291625,0.00136899130300394,"CD28/PTPRC",2
"GO:0060368","regulation of Fc receptor mediated stimulatory signaling pathway","2/60","10/18903",0.000438599119804049,0.00223113465291625,0.00136899130300394,"PTPRC/CD226",2
"GO:0042269","regulation of natural killer cell mediated cytotoxicity","3/60","47/18903",0.000446329991465722,0.0022606324243069,0.00138709070029448,"SERPINB9/SH2D1A/CD226",3
"GO:0007229","integrin-mediated signaling pathway","4/60","113/18903",0.000456165841375706,0.00230049152762748,0.00141154765797746,"ITGAX/PLEK/THY1/ITGAL",4
"GO:1903707","negative regulation of hemopoiesis","4/60","114/18903",0.00047164020341822,0.00236832205149922,0.00145316746659691,"IL4R/JAK3/CTLA4/CR1",4
"GO:0045581","negative regulation of T cell differentiation","3/60","48/18903",0.000475013728263937,0.00237506864131969,0.00145730707456592,"IL4R/JAK3/CTLA4",3
"GO:1904892","regulation of receptor signaling pathway via STAT","4/60","115/18903",0.00048748542412299,0.00242705509031446,0.0014892051926176,"JAK3/SOCS3/IL7R/PTPRC",4
"GO:0045060","negative thymic T cell selection","2/60","11/18903",0.000534970841124247,0.00264099529162603,0.00162047574348984,"CD28/PTPRC",2
"GO:0070189","kynurenine metabolic process","2/60","11/18903",0.000534970841124247,0.00264099529162603,0.00162047574348984,"KYNU/IDO1",2
"GO:0002718","regulation of cytokine production involved in immune response","4/60","118/18903",0.000537297017619851,0.00264133407821524,0.00162068361794223,"JAK3/SASH3/SLAMF1/CD226",4
"GO:0002715","regulation of natural killer cell mediated immunity","3/60","51/18903",0.000568081003337989,0.00278098231759601,0.00170636971713943,"SERPINB9/SH2D1A/CD226",3
"GO:0002367","cytokine production involved in immune response","4/60","120/18903",0.000572452296711053,0.00279070494646638,0.0017123353787585,"JAK3/SASH3/SLAMF1/CD226",4
"GO:0006968","cellular defense response","3/60","52/18903",0.000601505142787453,0.00292017019527519,0.00179177334518909,"SH2D1A/ITK/GNLY",3
"GO:0046638","positive regulation of alpha-beta T cell differentiation","3/60","53/18903",0.000636161140235111,0.0030719897781488,0.00188492760116732,"IL4R/SASH3/IL12RB1",3
"GO:0002645","positive regulation of tolerance induction","2/60","12/18903",0.00064065427851992,0.0030719897781488,0.00188492760116732,"CD274/IDO1",2
"GO:0043383","negative T cell selection","2/60","12/18903",0.00064065427851992,0.0030719897781488,0.00188492760116732,"CD28/PTPRC",2
"GO:0002448","mast cell mediated immunity","3/60","55/18903",0.000709241690907635,0.00338699093208952,0.00207820766143505,"IL4R/SERPINB9/IL13RA2",3
"GO:0002638","negative regulation of immunoglobulin production","2/60","13/18903",0.000755591329437253,0.00356468490097414,0.00218723805889731,"IL13RA2/CR1",2
"GO:0002664","regulation of T cell tolerance induction","2/60","13/18903",0.000755591329437253,0.00356468490097414,0.00218723805889731,"IL2RA/IDO1",2
"GO:2000562","negative regulation of CD4-positive, alpha-beta T cell proliferation","2/60","13/18903",0.000755591329437253,0.00356468490097414,0.00218723805889731,"CD274/LGALS9C",2
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","3/60","58/18903",0.000828552329420201,0.00389319769245637,0.00238880866059851,"SOCS3/THY1/PTPRC",3
"GO:0045059","positive thymic T cell selection","2/60","14/18903",0.000879724155700609,0.00410070622378372,0.00251613283366666,"PTPRC/CD3D",2
"GO:0048302","regulation of isotype switching to IgG isotypes","2/60","14/18903",0.000879724155700609,0.00410070622378372,0.00251613283366666,"CD28/PTPRC",2
"GO:0001787","natural killer cell proliferation","2/60","15/18903",0.00101299518246471,0.00464786024895575,0.00285185847034442,"FCGR3A/SLAMF1",2
"GO:0002836","positive regulation of response to tumor cell","2/60","15/18903",0.00101299518246471,0.00464786024895575,0.00285185847034442,"CD274/CD226",2
"GO:0002839","positive regulation of immune response to tumor cell","2/60","15/18903",0.00101299518246471,0.00464786024895575,0.00285185847034442,"CD274/CD226",2
"GO:0048291","isotype switching to IgG isotypes","2/60","15/18903",0.00101299518246471,0.00464786024895575,0.00285185847034442,"CD28/PTPRC",2
"GO:0046642","negative regulation of alpha-beta T cell proliferation","2/60","16/18903",0.00115534709717066,0.00521913553548135,0.00320238455708347,"CD274/LGALS9C",2
"GO:0050862","positive regulation of T cell receptor signaling pathway","2/60","16/18903",0.00115534709717066,0.00521913553548135,0.00320238455708347,"CARD11/CD226",2
"GO:1901741","positive regulation of myoblast fusion","2/60","16/18903",0.00115534709717066,0.00521913553548135,0.00320238455708347,"IL4R/CD53",2
"GO:2000318","positive regulation of T-helper 17 type immune response","2/60","16/18903",0.00115534709717066,0.00521913553548135,0.00320238455708347,"PRKCQ/IL12RB1",2
