ID,Description,GeneRatio,BgRatio,pvalue,padj,qvalue,geneID,Count
GO:0032653,regulation of interleukin-10 production,'6/60,65/18903,5.65E-08,5.70E-07,3.50E-07,JAK3/SASH3/CD274/CD28/TIGIT/IDO1,6
GO:0002456,T cell mediated immunity,'7/60,113/18903,6.72E-08,6.72E-07,4.13E-07,SASH3/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD1B,7
GO:0030888,regulation of B cell proliferation,'6/60,67/18903,6.79E-08,6.74E-07,4.13E-07,GPR183/SASH3/CTLA4/TNFRSF4/PTPRC/CARD11,6
GO:0032743,positive regulation of interleukin-2 production,'5/60,34/18903,7.05E-08,6.93E-07,4.25E-07,PRKCQ/SASH3/CD28/PTPRC/CARD11,5
GO:0002440,production of molecular mediator of immune response,'10/60,333/18903,8.69E-08,8.47E-07,5.20E-07,IL4R/JAK3/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/IL13RA2/CR1/CD226,10
GO:0002702,positive regulation of production of molecular mediator of immune response,'7/60,133/18903,2.06E-07,1.99E-06,1.22E-06,IL4R/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/CD226,7
GO:0030890,positive regulation of B cell proliferation,'5/60,45/18903,3.01E-07,2.87E-06,1.76E-06,GPR183/SASH3/TNFRSF4/PTPRC/CARD11,5
GO:0031295,T cell costimulation,'5/60,45/18903,3.01E-07,2.87E-06,1.76E-06,CD274/CD28/CD5/ICOS/CARD11,5
GO:0033077,T cell differentiation in thymus,'6/60,86/18903,3.06E-07,2.88E-06,1.77E-06,CD28/IL7R/PTPRC/CARD11/TNFRSF9/CD3D,6
GO:0046006,regulation of activated T cell proliferation,'5/60,46/18903,3.37E-07,3.16E-06,1.94E-06,JAK3/CD274/IL12RB1/IL2RA/SLAMF1,5
GO:0031294,lymphocyte costimulation,'5/60,47/18903,3.76E-07,3.49E-06,2.14E-06,CD274/CD28/CD5/ICOS/CARD11,5
GO:0002643,regulation of tolerance induction,'4/60,20/18903,4.28E-07,3.94E-06,2.42E-06,CD274/IL2RA/PDCD1/IDO1,4
GO:0050798,activated T cell proliferation,'5/60,49/18903,4.66E-07,4.26E-06,2.61E-06,JAK3/CD274/IL12RB1/IL2RA/SLAMF1,5
GO:0030183,B cell differentiation,'7/60,152/18903,5.11E-07,4.64E-06,2.85E-06,JAK3/GPR183/IL4I1/PTPRC/CARD11/CD27/CR1,7
GO:0045058,T cell selection,'5/60,51/18903,5.71E-07,5.14E-06,3.15E-06,CD28/IL12RB1/PTPRC/CARD11/CD3D,5
GO:0050871,positive regulation of B cell activation,'7/60,155/18903,5.84E-07,5.21E-06,3.20E-06,GPR183/SASH3/CD28/TNFRSF4/PTPRC/CARD11/CD27,7
GO:0045061,thymic T cell selection,'4/60,22/18903,6.43E-07,5.70E-06,3.50E-06,CD28/PTPRC/CARD11/CD3D,4
GO:0002639,positive regulation of immunoglobulin production,'5/60,53/18903,6.94E-07,6.10E-06,3.75E-06,IL4R/SASH3/CD28/TNFRSF4/PTPRC,5
GO:0030101,natural killer cell activation,'6/60,99/18903,7.05E-07,6.16E-06,3.78E-06,SLAMF7/FCGR3A/IL21R/SLAMF1/PTPRC/CD2,6
GO:0002274,myeloid leukocyte activation,'8/60,237/18903,7.92E-07,6.86E-06,4.21E-06,IL4R/FCGR3A/SLAMF1/BATF3/PTPRC/IL13RA2/CD2/CD226,8
GO:0046641,positive regulation of alpha-beta T cell proliferation,'4/60,25/18903,1.10E-06,9.49E-06,5.83E-06,PRKCQ/CD28/PTPRC/CARD11,4
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,'5/60,59/18903,1.19E-06,1.02E-05,6.25E-06,IL12RB1/PTPRC/SH2D1A/CD226/CD1B,5
GO:0002711,positive regulation of T cell mediated immunity,'5/60,60/18903,1.30E-06,1.10E-05,6.75E-06,SASH3/IL12RB1/SLAMF1/PTPRC/CD1B,5
GO:0002710,negative regulation of T cell mediated immunity,'4/60,27/18903,1.52E-06,1.28E-05,7.87E-06,IL7R/IL4I1/SLAMF1/PTPRC,4
GO:0046632,alpha-beta T cell differentiation,'6/60,117/18903,1.88E-06,1.57E-05,9.66E-06,IL4R/JAK3/GPR183/SASH3/IL12RB1/ITK,6
GO:0042104,positive regulation of activated T cell proliferation,'4/60,29/18903,2.05E-06,1.70E-05,1.04E-05,JAK3/IL12RB1/IL2RA/SLAMF1,4
GO:0031343,positive regulation of cell killing,'5/60,66/18903,2.09E-06,1.71E-05,1.05E-05,IL12RB1/PTPRC/SH2D1A/CD226/CD1B,5
GO:0050854,regulation of antigen receptor-mediated signaling pathway,'5/60,66/18903,2.09E-06,1.71E-05,1.05E-05,THY1/PTPRC/CARD11/SH2D1A/CD226,5
GO:0002825,regulation of T-helper 1 type immune response,'4/60,30/18903,2.36E-06,1.92E-05,1.18E-05,IL4R/JAK3/IL12RB1/SLAMF1,4
GO:0001818,negative regulation of cytokine production,'9/60,371/18903,2.40E-06,1.93E-05,1.19E-05,SRGN/JAK3/CD274/SLAMF1/TIGIT/LGALS9C/PTPRC/CR1/IDO1,9
GO:0045577,regulation of B cell differentiation,'4/60,33/18903,3.50E-06,2.81E-05,1.72E-05,IL4I1/CARD11/CD27/CR1,4
GO:2000563,"positive regulation of CD4-positive, alpha-beta T cell proliferation",'3/60,10/18903,3.59E-06,2.86E-05,1.75E-05,PRKCQ/CD28/CARD11,3
GO:2000515,"negative regulation of CD4-positive, alpha-beta T cell activation",'4/60,35/18903,4.46E-06,3.53E-05,2.16E-05,IL4R/JAK3/CD274/LGALS9C,4
GO:0032729,positive regulation of interferon-gamma production,'5/60,77/18903,4.51E-06,3.54E-05,2.17E-05,SASH3/IL12RB1/SLAMF1/CD2/CD226,5
GO:0006568,tryptophan metabolic process,'3/60,11/18903,4.93E-06,3.84E-05,2.36E-05,KYNU/IL4I1/IDO1,3
GO:0045589,regulation of regulatory T cell differentiation,'4/60,36/18903,5.01E-06,3.88E-05,2.38E-05,CD28/CTLA4/IL4I1/CR1,4
GO:0002377,immunoglobulin production,'7/60,219/18903,5.84E-06,4.49E-05,2.76E-05,IL4R/SASH3/CD28/TNFRSF4/PTPRC/IL13RA2/CR1,7
GO:0045066,regulatory T cell differentiation,'4/60,39/18903,6.94E-06,5.31E-05,3.26E-05,CD28/CTLA4/IL4I1/CR1,4
GO:0006586,indolalkylamine metabolic process,'3/60,13/18903,8.50E-06,6.38E-05,3.91E-05,KYNU/IL4I1/IDO1,3
GO:0001914,regulation of T cell mediated cytotoxicity,'4/60,41/18903,8.51E-06,6.38E-05,3.91E-05,IL12RB1/IL7R/PTPRC/CD1B,4
GO:0032733,positive regulation of interleukin-10 production,'4/60,41/18903,8.51E-06,6.38E-05,3.91E-05,SASH3/CD274/CD28/TIGIT,4
GO:0043367,"CD4-positive, alpha-beta T cell differentiation",'5/60,88/18903,8.70E-06,6.49E-05,3.98E-05,IL4R/JAK3/GPR183/SASH3/IL12RB1,5
GO:0032689,negative regulation of interferon-gamma production,'4/60,44/18903,1.13E-05,8.33E-05,5.11E-05,CD274/SLAMF1/LGALS9C/CR1,4
GO:0050856,regulation of T cell receptor signaling pathway,'4/60,44/18903,1.13E-05,8.33E-05,5.11E-05,THY1/CARD11/SH2D1A/CD226,4
GO:0046636,negative regulation of alpha-beta T cell activation,'4/60,45/18903,1.24E-05,9.06E-05,5.56E-05,IL4R/JAK3/CD274/LGALS9C,4
GO:0002517,T cell tolerance induction,'3/60,15/18903,1.35E-05,9.72E-05,5.97E-05,IL2RA/ICOS/IDO1,3
GO:0070234,positive regulation of T cell apoptotic process,'3/60,15/18903,1.35E-05,9.72E-05,5.97E-05,CD274/PDCD1/IDO1,3
GO:0042088,T-helper 1 type immune response,'4/60,46/18903,1.35E-05,9.72E-05,5.97E-05,IL4R/JAK3/IL12RB1/SLAMF1,4
GO:0002701,negative regulation of production of molecular mediator of immune response,'4/60,47/18903,1.48E-05,0.000105367,6.47E-05,JAK3/SLAMF1/IL13RA2/CR1,4
GO:0001776,leukocyte homeostasis,'5/60,100/18903,1.62E-05,0.000115194,7.07E-05,JAK3/GPR183/SASH3/IL2RA/IL7R,5
GO:0009074,aromatic amino acid family catabolic process,'3/60,16/18903,1.65E-05,0.000116519,7.15E-05,KYNU/IL4I1/IDO1,3
GO:0001913,T cell mediated cytotoxicity,'4/60,51/18903,2.05E-05,0.000143607,8.81E-05,IL12RB1/IL7R/PTPRC/CD1B,4
GO:0070230,positive regulation of lymphocyte apoptotic process,'3/60,18/18903,2.40E-05,0.000167007,0.000102473,CD274/PDCD1/IDO1,3
GO:0038093,Fc receptor signaling pathway,'4/60,55/18903,2.77E-05,0.000191846,0.000117714,PRKCQ/FCGR3A/PTPRC/CD247,4
GO:0032695,negative regulation of interleukin-12 production,'3/60,19/18903,2.84E-05,0.000195545,0.000119983,JAK3/SLAMF1/TIGIT,3
GO:0071706,tumor necrosis factor superfamily cytokine production,'6/60,189/18903,2.95E-05,0.000200689,0.00012314,FCGR3A/SASH3/CD274/SLAMF1/PTPRC/CD2,6
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,'6/60,189/18903,2.95E-05,0.000200689,0.00012314,FCGR3A/SASH3/CD274/SLAMF1/PTPRC/CD2,6
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",'4/60,56/18903,2.98E-05,0.000201349,0.000123545,IL4R/JAK3/SASH3/IL12RB1,4
GO:0002837,regulation of immune response to tumor cell,'3/60,20/18903,3.34E-05,0.000224257,0.000137601,CD274/IL4I1/CD226,3
GO:0045620,negative regulation of lymphocyte differentiation,'4/60,58/18903,3.42E-05,0.000228842,0.000140414,IL4R/JAK3/CTLA4/CR1,4
GO:0002286,T cell activation involved in immune response,'5/60,118/18903,3.61E-05,0.000240268,0.000147425,IL4R/JAK3/GPR183/IL12RB1/ITGAL,5
GO:0002834,regulation of response to tumor cell,'3/60,21/18903,3.88E-05,0.000256618,0.000157457,CD274/IL4I1/CD226,3
GO:0034113,heterotypic cell-cell adhesion,'4/60,61/18903,4.18E-05,0.000274776,0.000168598,ITGAX/THY1/PTPRC/CD2,4
GO:0032615,interleukin-12 production,'4/60,63/18903,4.75E-05,0.000308691,0.000189408,JAK3/SLAMF1/TIGIT/IDO1,4
GO:0032655,regulation of interleukin-12 production,'4/60,63/18903,4.75E-05,0.000308691,0.000189408,JAK3/SLAMF1/TIGIT/IDO1,4
GO:0002712,regulation of B cell mediated immunity,'4/60,64/18903,5.05E-05,0.000324882,0.000199343,CD28/PTPRC/CR1/CD226,4
GO:0002889,regulation of immunoglobulin mediated immune response,'4/60,64/18903,5.05E-05,0.000324882,0.000199343,CD28/PTPRC/CR1/CD226,4
GO:0042430,indole-containing compound metabolic process,'3/60,24/18903,5.87E-05,0.000375166,0.000230196,KYNU/IL4I1/IDO1,3
GO:0042093,T-helper cell differentiation,'4/60,68/18903,6.42E-05,0.00040801,0.000250349,IL4R/JAK3/GPR183/IL12RB1,4
GO:0001911,negative regulation of leukocyte mediated cytotoxicity,'3/60,25/18903,6.65E-05,0.000417804,0.000256359,SERPINB9/IL7R/PTPRC,3
GO:0032693,negative regulation of interleukin-10 production,'3/60,25/18903,6.65E-05,0.000417804,0.000256359,JAK3/CD274/IDO1,3
GO:0006959,humoral immune response,'7/60,320/18903,6.68E-05,0.000417804,0.000256359,GPR183/CD28/PTPRC/SH2D1A/CR1/PDCD1/GNLY,7
GO:0002260,lymphocyte homeostasis,'4/60,69/18903,6.80E-05,0.000422901,0.000259486,JAK3/SASH3/IL2RA/IL7R,4
GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",'4/60,70/18903,7.19E-05,0.000445105,0.00027311,IL4R/JAK3/GPR183/IL12RB1,4
GO:0046629,gamma-delta T cell activation,'3/60,26/18903,7.50E-05,0.000459665,0.000282044,PTPRC/CD247/ITK,3
GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,'3/60,26/18903,7.50E-05,0.000459665,0.000282044,PTPRC/CARD11/CD226,3
GO:0002287,alpha-beta T cell activation involved in immune response,'4/60,71/18903,7.60E-05,0.000460812,0.000282747,IL4R/JAK3/GPR183/IL12RB1,4
GO:0002293,alpha-beta T cell differentiation involved in immune response,'4/60,71/18903,7.60E-05,0.000460812,0.000282747,IL4R/JAK3/GPR183/IL12RB1,4
GO:0002418,immune response to tumor cell,'3/60,27/18903,8.42E-05,0.000505373,0.00031009,CD274/IL4I1/CD226,3
GO:0032753,positive regulation of interleukin-4 production,'3/60,27/18903,8.42E-05,0.000505373,0.00031009,PRKCQ/SASH3/CD28,3
GO:0046637,regulation of alpha-beta T cell differentiation,'4/60,73/18903,8.47E-05,0.000505905,0.000310416,IL4R/JAK3/SASH3/IL12RB1,4
GO:0031342,negative regulation of cell killing,'3/60,28/18903,9.41E-05,0.000559008,0.000342999,SERPINB9/IL7R/PTPRC,3
GO:0001773,myeloid dendritic cell activation,'3/60,29/18903,0.000104747,0.00061896,0.000379785,SLAMF1/BATF3/CD2,3
GO:0002292,T cell differentiation involved in immune response,'4/60,79/18903,0.000115344,0.000672595,0.000412694,IL4R/JAK3/GPR183/IL12RB1,4
GO:0002437,inflammatory response to antigenic stimulus,'4/60,79/18903,0.000115344,0.000672595,0.000412694,FCGR3A/CD28/IL2RA/CD6,4
GO:0009072,aromatic amino acid family metabolic process,'3/60,30/18903,0.000116123,0.000672595,0.000412694,KYNU/IL4I1/IDO1,3
GO:2000108,positive regulation of leukocyte apoptotic process,'3/60,30/18903,0.000116123,0.000672595,0.000412694,CD274/PDCD1/IDO1,3
GO:0001916,positive regulation of T cell mediated cytotoxicity,'3/60,31/18903,0.000128275,0.000739319,0.000453635,IL12RB1/PTPRC/CD1B,3
GO:0002831,regulation of response to biotic stimulus,'7/60,361/18903,0.000141448,0.000811244,0.000497767,CD274/SERPINB9/IL12RB1/IL4I1/SH2D1A/CR1/CD226,7
GO:0038094,Fc-gamma receptor signaling pathway,'3/60,33/18903,0.000154998,0.000884623,0.000542791,FCGR3A/PTPRC/CD247,3
GO:0002312,B cell activation involved in immune response,'4/60,88/18903,0.000175248,0.000995341,0.000610727,GPR183/CD28/PTPRC/CR1,4
GO:0032633,interleukin-4 production,'3/60,35/18903,0.000185098,0.001036193,0.000635793,PRKCQ/SASH3/CD28,3
GO:0032673,regulation of interleukin-4 production,'3/60,35/18903,0.000185098,0.001036193,0.000635793,PRKCQ/SASH3/CD28,3
GO:0043372,"positive regulation of CD4-positive, alpha-beta T cell differentiation",'3/60,35/18903,0.000185098,0.001036193,0.000635793,IL4R/SASH3/IL12RB1,3
GO:0007259,receptor signaling pathway via JAK-STAT,'5/60,172/18903,0.000214455,0.00119482,0.000733124,JAK3/SOCS3/CSF2RB/IL7R/PTPRC,5
GO:0043368,positive T cell selection,'3/60,38/18903,0.000236967,0.001313989,0.000806244,IL12RB1/PTPRC/CD3D,3
GO:0097696,receptor signaling pathway via STAT,'5/60,183/18903,0.000285726,0.001576881,0.000967551,JAK3/SOCS3/CSF2RB/IL7R/PTPRC,5
GO:0032640,tumor necrosis factor production,'5/60,184/18903,0.000292998,0.001601905,0.000982905,FCGR3A/SASH3/SLAMF1/PTPRC/CD2,5
GO:0032680,regulation of tumor necrosis factor production,'5/60,184/18903,0.000292998,0.001601905,0.000982905,FCGR3A/SASH3/SLAMF1/PTPRC/CD2,5
GO:0002714,positive regulation of B cell mediated immunity,'3/60,42/18903,0.000319577,0.001723066,0.001057248,CD28/PTPRC/CD226,3
GO:0002891,positive regulation of immunoglobulin mediated immune response,'3/60,42/18903,0.000319577,0.001723066,0.001057248,CD28/PTPRC/CD226,3
GO:0043029,T cell homeostasis,'3/60,42/18903,0.000319577,0.001723066,0.001057248,JAK3/IL2RA/IL7R,3
GO:0046425,regulation of receptor signaling pathway via JAK-STAT,'4/60,104/18903,0.000332753,0.001785879,0.001095789,JAK3/SOCS3/IL7R/PTPRC,4
GO:0002347,response to tumor cell,'3/60,43/18903,0.000342772,0.001818858,0.001116024,CD274/IL4I1/CD226,3
GO:0045622,regulation of T-helper cell differentiation,'3/60,43/18903,0.000342772,0.001818858,0.001116024,IL4R/JAK3/IL12RB1,3
GO:0048872,homeostasis of number of cells,'6/60,296/18903,0.000344972,0.001818858,0.001116024,JAK3/GPR183/SASH3/IL2RA/IL7R/CARD11,6
GO:0032760,positive regulation of tumor necrosis factor production,'4/60,105/18903,0.000345117,0.001818858,0.001116024,FCGR3A/SASH3/PTPRC/CD2,4
GO:0002444,myeloid leukocyte mediated immunity,'4/60,107/18903,0.000370825,0.001945584,0.001193781,IL4R/FCGR3A/SERPINB9/IL13RA2,4
GO:1902106,negative regulation of leukocyte differentiation,'4/60,108/18903,0.00038418,0.002006655,0.001231254,IL4R/JAK3/CTLA4/CR1,4
GO:0033003,regulation of mast cell activation,'3/60,45/18903,0.000392355,0.002040246,0.001251865,IL4R/IL13RA2/CD226,3
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,'4/60,109/18903,0.000397876,0.0020598,0.001263863,FCGR3A/SASH3/PTPRC/CD2,4
GO:0001915,negative regulation of T cell mediated cytotoxicity,'2/60,10/18903,0.000438599,0.002231135,0.001368991,IL7R/PTPRC,2
GO:0045625,regulation of T-helper 1 cell differentiation,'2/60,10/18903,0.000438599,0.002231135,0.001368991,IL4R/JAK3,2
GO:0048304,positive regulation of isotype switching to IgG isotypes,'2/60,10/18903,0.000438599,0.002231135,0.001368991,CD28/PTPRC,2
GO:0060368,regulation of Fc receptor mediated stimulatory signaling pathway,'2/60,10/18903,0.000438599,0.002231135,0.001368991,PTPRC/CD226,2
GO:0042269,regulation of natural killer cell mediated cytotoxicity,'3/60,47/18903,0.00044633,0.002260632,0.001387091,SERPINB9/SH2D1A/CD226,3
GO:0007229,integrin-mediated signaling pathway,'4/60,113/18903,0.000456166,0.002300492,0.001411548,ITGAX/PLEK/THY1/ITGAL,4
GO:1903707,negative regulation of hemopoiesis,'4/60,114/18903,0.00047164,0.002368322,0.001453167,IL4R/JAK3/CTLA4/CR1,4
GO:0045581,negative regulation of T cell differentiation,'3/60,48/18903,0.000475014,0.002375069,0.001457307,IL4R/JAK3/CTLA4,3
GO:1904892,regulation of receptor signaling pathway via STAT,'4/60,115/18903,0.000487485,0.002427055,0.001489205,JAK3/SOCS3/IL7R/PTPRC,4
GO:0045060,negative thymic T cell selection,'2/60,11/18903,0.000534971,0.002640995,0.001620476,CD28/PTPRC,2
GO:0070189,kynurenine metabolic process,'2/60,11/18903,0.000534971,0.002640995,0.001620476,KYNU/IDO1,2
GO:0002718,regulation of cytokine production involved in immune response,'4/60,118/18903,0.000537297,0.002641334,0.001620684,JAK3/SASH3/SLAMF1/CD226,4
GO:0002715,regulation of natural killer cell mediated immunity,'3/60,51/18903,0.000568081,0.002780982,0.00170637,SERPINB9/SH2D1A/CD226,3
GO:0002367,cytokine production involved in immune response,'4/60,120/18903,0.000572452,0.002790705,0.001712335,JAK3/SASH3/SLAMF1/CD226,4
GO:0006968,cellular defense response,'3/60,52/18903,0.000601505,0.00292017,0.001791773,SH2D1A/ITK/GNLY,3
GO:0046638,positive regulation of alpha-beta T cell differentiation,'3/60,53/18903,0.000636161,0.00307199,0.001884928,IL4R/SASH3/IL12RB1,3
GO:0002645,positive regulation of tolerance induction,'2/60,12/18903,0.000640654,0.00307199,0.001884928,CD274/IDO1,2
GO:0043383,negative T cell selection,'2/60,12/18903,0.000640654,0.00307199,0.001884928,CD28/PTPRC,2
GO:0002448,mast cell mediated immunity,'3/60,55/18903,0.000709242,0.003386991,0.002078208,IL4R/SERPINB9/IL13RA2,3
GO:0002638,negative regulation of immunoglobulin production,'2/60,13/18903,0.000755591,0.003564685,0.002187238,IL13RA2/CR1,2
GO:0002664,regulation of T cell tolerance induction,'2/60,13/18903,0.000755591,0.003564685,0.002187238,IL2RA/IDO1,2
GO:2000562,"negative regulation of CD4-positive, alpha-beta T cell proliferation",'2/60,13/18903,0.000755591,0.003564685,0.002187238,CD274/LGALS9C,2
GO:0050732,negative regulation of peptidyl-tyrosine phosphorylation,'3/60,58/18903,0.000828552,0.003893198,0.002388809,SOCS3/THY1/PTPRC,3
GO:0045059,positive thymic T cell selection,'2/60,14/18903,0.000879724,0.004100706,0.002516133,PTPRC/CD3D,2
GO:0048302,regulation of isotype switching to IgG isotypes,'2/60,14/18903,0.000879724,0.004100706,0.002516133,CD28/PTPRC,2
GO:0001787,natural killer cell proliferation,'2/60,15/18903,0.001012995,0.00464786,0.002851858,FCGR3A/SLAMF1,2
GO:0002836,positive regulation of response to tumor cell,'2/60,15/18903,0.001012995,0.00464786,0.002851858,CD274/CD226,2
GO:0002839,positive regulation of immune response to tumor cell,'2/60,15/18903,0.001012995,0.00464786,0.002851858,CD274/CD226,2
GO:0048291,isotype switching to IgG isotypes,'2/60,15/18903,0.001012995,0.00464786,0.002851858,CD28/PTPRC,2
GO:0046642,negative regulation of alpha-beta T cell proliferation,'2/60,16/18903,0.001155347,0.005219136,0.003202385,CD274/LGALS9C,2
GO:0050862,positive regulation of T cell receptor signaling pathway,'2/60,16/18903,0.001155347,0.005219136,0.003202385,CARD11/CD226,2
GO:1901741,positive regulation of myoblast fusion,'2/60,16/18903,0.001155347,0.005219136,0.003202385,IL4R/CD53,2
GO:2000318,positive regulation of T-helper 17 type immune response,'2/60,16/18903,0.001155347,0.005219136,0.003202385,PRKCQ/IL12RB1,2
GO:0045576,mast cell activation,'3/60,67/18903,0.001260575,0.005672587,0.003480616,IL4R/IL13RA2/CD226,3
GO:0018108,peptidyl-tyrosine phosphorylation,'6/60,380/18903,0.001272048,0.005702285,0.003498838,JAK3/SOCS3/THY1/PTPRC/MATK/ITK,6
GO:0018212,peptidyl-tyrosine modification,'6/60,382/18903,0.001306627,0.005834939,0.003580232,JAK3/SOCS3/THY1/PTPRC/MATK/ITK,6
GO:0002827,positive regulation of T-helper 1 type immune response,'2/60,18/18903,0.001467066,0.006477233,0.003974335,IL12RB1/SLAMF1,2
GO:0002830,positive regulation of type 2 immune response,'2/60,18/18903,0.001467066,0.006477233,0.003974335,IL4R/IDO1,2
GO:0045623,negative regulation of T-helper cell differentiation,'2/60,18/18903,0.001467066,0.006477233,0.003974335,IL4R/JAK3,2
GO:0050900,leukocyte migration,'6/60,398/18903,0.001609891,0.007081098,0.004344858,SELL/GPR183/THY1/ITGAL/SLAMF1/CSF3R,6
GO:0002923,regulation of humoral immune response mediated by circulating immunoglobulin,'2/60,19/18903,0.001636319,0.007170386,0.004399643,PTPRC/CR1,2
GO:0045123,cellular extravasation,'3/60,74/18903,0.001679157,0.007330649,0.004497978,SELL/THY1/ITGAL,3
GO:0031348,negative regulation of defense response,'5/60,272/18903,0.001702829,0.007406356,0.004544431,SOCS3/SERPINB9/IL2RA/PTPRC/CR1,5
GO:0033005,positive regulation of mast cell activation,'2/60,21/18903,0.002001332,0.008608672,0.005282154,IL4R/CD226,2
GO:0045063,T-helper 1 cell differentiation,'2/60,21/18903,0.002001332,0.008608672,0.005282154,IL4R/JAK3,2
GO:1901739,regulation of myoblast fusion,'2/60,21/18903,0.002001332,0.008608672,0.005282154,IL4R/CD53,2
GO:0002720,positive regulation of cytokine production involved in immune response,'3/60,79/18903,0.002025536,0.008649186,0.005307013,SASH3/SLAMF1/CD226,3
GO:0043299,leukocyte degranulation,'3/60,79/18903,0.002025536,0.008649186,0.005307013,IL4R/FCGR3A/IL13RA2,3
GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",'2/60,22/18903,0.002196981,0.009347153,0.005735275,IL4R/JAK3,2
GO:0045591,positive regulation of regulatory T cell differentiation,'2/60,23/18903,0.002401316,0.010142741,0.006223436,IL4I1/CR1,2
GO:0045624,positive regulation of T-helper cell differentiation,'2/60,23/18903,0.002401316,0.010142741,0.006223436,IL4R/IL12RB1,2
GO:0002922,positive regulation of humoral immune response,'2/60,24/18903,0.002614283,0.010963121,0.006726809,PTPRC/CR1,2
GO:0060143,positive regulation of syncytium formation by plasma membrane fusion,'2/60,24/18903,0.002614283,0.010963121,0.006726809,IL4R/CD53,2
GO:0001779,natural killer cell differentiation,'2/60,25/18903,0.002835826,0.011724087,0.007193727,SLAMF1/PTPRC,2
GO:0019835,cytolysis,'2/60,25/18903,0.002835826,0.011724087,0.007193727,GZMB/CR1,2
GO:0031579,membrane raft organization,'2/60,25/18903,0.002835826,0.011724087,0.007193727,PTPRC/CD2,2
GO:0050860,negative regulation of T cell receptor signaling pathway,'2/60,25/18903,0.002835826,0.011724087,0.007193727,THY1/SH2D1A,2
GO:0002438,acute inflammatory response to antigenic stimulus,'2/60,26/18903,0.003065892,0.012498583,0.007668946,FCGR3A/CD6,2
GO:0002726,positive regulation of T cell cytokine production,'2/60,26/18903,0.003065892,0.012498583,0.007668946,SASH3/SLAMF1,2
GO:0009435,NAD biosynthetic process,'2/60,26/18903,0.003065892,0.012498583,0.007668946,KYNU/IDO1,2
GO:0046639,negative regulation of alpha-beta T cell differentiation,'2/60,26/18903,0.003065892,0.012498583,0.007668946,IL4R/JAK3,2
GO:0002407,dendritic cell chemotaxis,'2/60,27/18903,0.003304425,0.013331645,0.008180101,GPR183/SLAMF1,2
GO:0042537,benzene-containing compound metabolic process,'2/60,27/18903,0.003304425,0.013331645,0.008180101,KYNU/IDO1,2
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,'2/60,27/18903,0.003304425,0.013331645,0.008180101,SH2D1A/CD226,2
GO:1901606,alpha-amino acid catabolic process,'3/60,95/18903,0.003420391,0.013752086,0.008438077,KYNU/IL4I1/IDO1,3
GO:0002275,myeloid cell activation involved in immune response,'3/60,96/18903,0.003522823,0.014037514,0.008613211,IL4R/SLAMF1/IL13RA2,3
GO:0019359,nicotinamide nucleotide biosynthetic process,'2/60,28/18903,0.003551371,0.014037514,0.008613211,KYNU/IDO1,2
GO:0019363,pyridine nucleotide biosynthetic process,'2/60,28/18903,0.003551371,0.014037514,0.008613211,KYNU/IDO1,2
GO:0032703,negative regulation of interleukin-2 production,'2/60,28/18903,0.003551371,0.014037514,0.008613211,PTPRC/CR1,2
GO:0045830,positive regulation of isotype switching,'2/60,28/18903,0.003551371,0.014037514,0.008613211,CD28/PTPRC,2
GO:0006576,cellular biogenic amine metabolic process,'3/60,97/18903,0.003627118,0.014288647,0.008767303,KYNU/IL4I1/IDO1,3
GO:0060142,regulation of syncytium formation by plasma membrane fusion,'2/60,30/18903,0.004070288,0.015980659,0.009805497,IL4R/CD53,2
GO:0002313,mature B cell differentiation involved in immune response,'2/60,31/18903,0.00434215,0.016878126,0.010356169,GPR183/CR1,2
GO:0072525,pyridine-containing compound biosynthetic process,'2/60,31/18903,0.00434215,0.016878126,0.010356169,KYNU/IDO1,2
GO:2000316,regulation of T-helper 17 type immune response,'2/60,31/18903,0.00434215,0.016878126,0.010356169,PRKCQ/IL12RB1,2
GO:0002717,positive regulation of natural killer cell mediated immunity,'2/60,32/18903,0.004622212,0.017789435,0.010915335,SH2D1A/CD226,2
GO:0043304,regulation of mast cell degranulation,'2/60,32/18903,0.004622212,0.017789435,0.010915335,IL4R/IL13RA2,2
GO:0061099,negative regulation of protein tyrosine kinase activity,'2/60,32/18903,0.004622212,0.017789435,0.010915335,THY1/PTPRC,2
GO:0044106,cellular amine metabolic process,'3/60,108/18903,0.004900189,0.018532873,0.011371498,KYNU/IL4I1/IDO1,3
GO:0001782,B cell homeostasis,'2/60,33/18903,0.004910419,0.018532873,0.011371498,SASH3/IL7R,2
GO:0002431,Fc receptor mediated stimulatory signaling pathway,'2/60,33/18903,0.004910419,0.018532873,0.011371498,PTPRC/CD226,2
GO:0002828,regulation of type 2 immune response,'2/60,33/18903,0.004910419,0.018532873,0.011371498,IL4R/IDO1,2
